epoch: 137, Train Loss: 0.562908, Train Acc: 0.811634, Eval Loss: 0.544910, Eval Acc: 0.818532, PSNR: 8.616069
epoch: 138, Train Loss: 0.561550, Train Acc: 0.812650, Eval Loss: 0.545022, Eval Acc: 0.818236, PSNR: 10.302499
epoch: 139, Train Loss: 0.561450, Train Acc: 0.813483, Eval Loss: 0.544334, Eval Acc: 0.818038, PSNR: 9.784752
epoch: 140, Train Loss: 0.560146, Train Acc: 0.813233, Eval Loss: 0.542017, Eval Acc: 0.818829, PSNR: 9.936421
epoch: 141, Train Loss: 0.559573, Train Acc: 0.813549, Eval Loss: 0.542145, Eval Acc: 0.819225, PSNR: 10.360216
epoch: 142, Train Loss: 0.559351, Train Acc: 0.812567, Eval Loss: 0.540778, Eval Acc: 0.818335, PSNR: 10.143892
epoch: 143, Train Loss: 0.558861, Train Acc: 0.814466, Eval Loss: 0.540807, Eval Acc: 0.820411, PSNR: 10.088517
epoch: 144, Train Loss: 0.557353, Train Acc: 0.814949, Eval Loss: 0.542457, Eval Acc: 0.821796, PSNR: 9.190712
epoch: 145, Train Loss: 0.557412, Train Acc: 0.813266, Eval Loss: 0.540763, Eval Acc: 0.821598, PSNR: 10.227631
epoch: 146, Train Loss: 0.555976, Train Acc: 0.814899, Eval Loss: 0.540085, Eval Acc: 0.819225, PSNR: 9.976641
epoch: 147, Train Loss: 0.556502, Train Acc: 0.813316, Eval Loss: 0.538254, Eval Acc: 0.820807, PSNR: 9.677830
epoch: 148, Train Loss: 0.555351, Train Acc: 0.814299, Eval Loss: 0.539751, Eval Acc: 0.817642, PSNR: 9.547465
epoch: 149, Train Loss: 0.554484, Train Acc: 0.814616, Eval Loss: 0.537813, Eval Acc: 0.819521, PSNR: 9.905361
epoch: 150, Train Loss: 0.554448, Train Acc: 0.814582, Eval Loss: 0.537998, Eval Acc: 0.820807, PSNR: 10.560835
epoch: 151, Train Loss: 0.552789, Train Acc: 0.816448, Eval Loss: 0.536995, Eval Acc: 0.821994, PSNR: 9.319565
epoch: 152, Train Loss: 0.552901, Train Acc: 0.816231, Eval Loss: 0.537884, Eval Acc: 0.821895, PSNR: 9.814985
epoch: 153, Train Loss: 0.553017, Train Acc: 0.813999, Eval Loss: 0.535900, Eval Acc: 0.822389, PSNR: 10.404397
epoch: 154, Train Loss: 0.552454, Train Acc: 0.815482, Eval Loss: 0.537605, Eval Acc: 0.821005, PSNR: 10.308616
epoch: 155, Train Loss: 0.552669, Train Acc: 0.814649, Eval Loss: 0.532446, Eval Acc: 0.821697, PSNR: 10.058199
epoch: 156, Train Loss: 0.551003, Train Acc: 0.815482, Eval Loss: 0.533030, Eval Acc: 0.824862, PSNR: 9.684869
epoch: 157, Train Loss: 0.550984, Train Acc: 0.815981, Eval Loss: 0.533664, Eval Acc: 0.820016, PSNR: 10.137298
epoch: 158, Train Loss: 0.550482, Train Acc: 0.816698, Eval Loss: 0.532847, Eval Acc: 0.819719, PSNR: 8.868210
epoch: 159, Train Loss: 0.550146, Train Acc: 0.816814, Eval Loss: 0.533492, Eval Acc: 0.825356, PSNR: 10.604090
epoch: 160, Train Loss: 0.549547, Train Acc: 0.816065, Eval Loss: 0.531306, Eval Acc: 0.823576, PSNR: 10.922816
epoch: 161, Train Loss: 0.549184, Train Acc: 0.814932, Eval Loss: 0.531529, Eval Acc: 0.820411, PSNR: 10.534286
epoch: 162, Train Loss: 0.548791, Train Acc: 0.815865, Eval Loss: 0.531809, Eval Acc: 0.822093, PSNR: 9.785270
epoch: 163, Train Loss: 0.547586, Train Acc: 0.816448, Eval Loss: 0.529622, Eval Acc: 0.822983, PSNR: 9.662093
epoch: 164, Train Loss: 0.547629, Train Acc: 0.816031, Eval Loss: 0.528635, Eval Acc: 0.826246, PSNR: 8.693791
epoch: 165, Train Loss: 0.546924, Train Acc: 0.815598, Eval Loss: 0.528366, Eval Acc: 0.824960, PSNR: 10.249739
epoch: 166, Train Loss: 0.545854, Train Acc: 0.816881, Eval Loss: 0.528945, Eval Acc: 0.820016, PSNR: 10.163845
epoch: 167, Train Loss: 0.545664, Train Acc: 0.817048, Eval Loss: 0.528002, Eval Acc: 0.824268, PSNR: 10.059518
epoch: 168, Train Loss: 0.545307, Train Acc: 0.818180, Eval Loss: 0.530227, Eval Acc: 0.821598, PSNR: 9.427902
epoch: 169, Train Loss: 0.545620, Train Acc: 0.815915, Eval Loss: 0.527611, Eval Acc: 0.823279, PSNR: 9.976178
epoch: 170, Train Loss: 0.544948, Train Acc: 0.816298, Eval Loss: 0.528781, Eval Acc: 0.822389, PSNR: 11.017856
epoch: 171, Train Loss: 0.544234, Train Acc: 0.817547, Eval Loss: 0.527875, Eval Acc: 0.822488, PSNR: 10.903611
epoch: 172, Train Loss: 0.543509, Train Acc: 0.817264, Eval Loss: 0.523988, Eval Acc: 0.823774, PSNR: 9.186703
epoch: 173, Train Loss: 0.543386, Train Acc: 0.818647, Eval Loss: 0.527144, Eval Acc: 0.822686, PSNR: 9.794057
epoch: 174, Train Loss: 0.542188, Train Acc: 0.817814, Eval Loss: 0.525565, Eval Acc: 0.823576, PSNR: 10.368830
epoch: 175, Train Loss: 0.542456, Train Acc: 0.818364, Eval Loss: 0.526406, Eval Acc: 0.822191, PSNR: 9.673718
epoch: 176, Train Loss: 0.542822, Train Acc: 0.816398, Eval Loss: 0.525661, Eval Acc: 0.824367, PSNR: 10.603326
epoch: 177, Train Loss: 0.541287, Train Acc: 0.818547, Eval Loss: 0.525084, Eval Acc: 0.826938, PSNR: 10.150055
epoch: 178, Train Loss: 0.540643, Train Acc: 0.818963, Eval Loss: 0.525076, Eval Acc: 0.825059, PSNR: 10.080245
epoch: 179, Train Loss: 0.540393, Train Acc: 0.818330, Eval Loss: 0.522043, Eval Acc: 0.824367, PSNR: 10.256233
epoch: 180, Train Loss: 0.540362, Train Acc: 0.818647, Eval Loss: 0.521254, Eval Acc: 0.826938, PSNR: 8.622608
epoch: 181, Train Loss: 0.538919, Train Acc: 0.819663, Eval Loss: 0.521437, Eval Acc: 0.823774, PSNR: 10.859997
epoch: 182, Train Loss: 0.540053, Train Acc: 0.818014, Eval Loss: 0.522414, Eval Acc: 0.827334, PSNR: 10.702927
epoch: 183, Train Loss: 0.539401, Train Acc: 0.818580, Eval Loss: 0.522417, Eval Acc: 0.825554, PSNR: 9.983749
epoch: 184, Train Loss: 0.538760, Train Acc: 0.818813, Eval Loss: 0.520887, Eval Acc: 0.825850, PSNR: 9.978575
epoch: 185, Train Loss: 0.537573, Train Acc: 0.819630, Eval Loss: 0.521038, Eval Acc: 0.824070, PSNR: 9.825384
epoch: 186, Train Loss: 0.537951, Train Acc: 0.819680, Eval Loss: 0.517769, Eval Acc: 0.827334, PSNR: 10.880801
epoch: 187, Train Loss: 0.537308, Train Acc: 0.818830, Eval Loss: 0.519390, Eval Acc: 0.826345, PSNR: 10.162154
epoch: 188, Train Loss: 0.536372, Train Acc: 0.818497, Eval Loss: 0.520756, Eval Acc: 0.826048, PSNR: 11.404612
epoch: 189, Train Loss: 0.536383, Train Acc: 0.819646, Eval Loss: 0.518037, Eval Acc: 0.828422, PSNR: 10.461280
epoch: 190, Train Loss: 0.535711, Train Acc: 0.820396, Eval Loss: 0.519004, Eval Acc: 0.825752, PSNR: 10.398344
epoch: 191, Train Loss: 0.536015, Train Acc: 0.820246, Eval Loss: 0.518857, Eval Acc: 0.824862, PSNR: 10.346627
epoch: 192, Train Loss: 0.535182, Train Acc: 0.820163, Eval Loss: 0.518592, Eval Acc: 0.825158, PSNR: 9.507345
epoch: 193, Train Loss: 0.535554, Train Acc: 0.819813, Eval Loss: 0.516287, Eval Acc: 0.827532, PSNR: 9.581924
epoch: 194, Train Loss: 0.534044, Train Acc: 0.820779, Eval Loss: 0.518288, Eval Acc: 0.827037, PSNR: 10.232278
epoch: 195, Train Loss: 0.533975, Train Acc: 0.820229, Eval Loss: 0.518556, Eval Acc: 0.824664, PSNR: 10.548305
epoch: 196, Train Loss: 0.533290, Train Acc: 0.820496, Eval Loss: 0.516493, Eval Acc: 0.826345, PSNR: 10.593833
epoch: 197, Train Loss: 0.532964, Train Acc: 0.820146, Eval Loss: 0.512824, Eval Acc: 0.828224, PSNR: 9.669181
epoch: 198, Train Loss: 0.533310, Train Acc: 0.820979, Eval Loss: 0.517179, Eval Acc: 0.826543, PSNR: 10.842111
epoch: 199, Train Loss: 0.532700, Train Acc: 0.820163, Eval Loss: 0.513839, Eval Acc: 0.826147, PSNR: 10.435366
epoch: 200, Train Loss: 0.532316, Train Acc: 0.820896, Eval Loss: 0.514374, Eval Acc: 0.827037, PSNR: 9.436280
epoch: 201, Train Loss: 0.530747, Train Acc: 0.821695, Eval Loss: 0.516116, Eval Acc: 0.825752, PSNR: 10.936073
epoch: 202, Train Loss: 0.531439, Train Acc: 0.821362, Eval Loss: 0.514349, Eval Acc: 0.826345, PSNR: 9.795572
epoch: 203, Train Loss: 0.530754, Train Acc: 0.822078, Eval Loss: 0.512550, Eval Acc: 0.827532, PSNR: 10.579607
epoch: 204, Train Loss: 0.529868, Train Acc: 0.821045, Eval Loss: 0.514879, Eval Acc: 0.828026, PSNR: 10.539570
