Training for Eve start
Compression Rate: 0.8
SNR Value: -5
epoch: 82, Train Loss: nan, Train Acc: 0.098697, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 83, Train Loss: nan, Train Acc: 0.098764, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 84, Train Loss: nan, Train Acc: 0.098681, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 85, Train Loss: nan, Train Acc: 0.098681, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 86, Train Loss: nan, Train Acc: 0.098747, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 87, Train Loss: nan, Train Acc: 0.098781, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 88, Train Loss: nan, Train Acc: 0.098747, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 89, Train Loss: nan, Train Acc: 0.098714, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 90, Train Loss: nan, Train Acc: 0.098731, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 91, Train Loss: nan, Train Acc: 0.098681, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 92, Train Loss: nan, Train Acc: 0.098681, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 93, Train Loss: nan, Train Acc: 0.098781, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 94, Train Loss: nan, Train Acc: 0.098714, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 95, Train Loss: nan, Train Acc: 0.098681, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 96, Train Loss: nan, Train Acc: 0.098731, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 97, Train Loss: nan, Train Acc: 0.098731, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 98, Train Loss: nan, Train Acc: 0.098714, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 99, Train Loss: nan, Train Acc: 0.098697, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
Training for Eve start
Compression Rate: 0.8
SNR Value: 0
epoch: 0, Train Loss: nan, Train Acc: 0.098631, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 1, Train Loss: nan, Train Acc: 0.098681, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 2, Train Loss: nan, Train Acc: 0.098697, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 3, Train Loss: nan, Train Acc: 0.098731, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 4, Train Loss: nan, Train Acc: 0.098714, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 5, Train Loss: nan, Train Acc: 0.098714, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 6, Train Loss: nan, Train Acc: 0.098747, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 7, Train Loss: nan, Train Acc: 0.098731, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 8, Train Loss: nan, Train Acc: 0.098731, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 9, Train Loss: nan, Train Acc: 0.098731, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 10, Train Loss: nan, Train Acc: 0.098731, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 11, Train Loss: nan, Train Acc: 0.098714, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 12, Train Loss: nan, Train Acc: 0.098714, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 13, Train Loss: nan, Train Acc: 0.098697, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 14, Train Loss: nan, Train Acc: 0.098664, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 15, Train Loss: nan, Train Acc: 0.098714, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 16, Train Loss: nan, Train Acc: 0.098681, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 17, Train Loss: nan, Train Acc: 0.098747, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 18, Train Loss: nan, Train Acc: 0.098681, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 19, Train Loss: nan, Train Acc: 0.098714, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 20, Train Loss: nan, Train Acc: 0.098714, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 21, Train Loss: nan, Train Acc: 0.098681, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 22, Train Loss: nan, Train Acc: 0.098764, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 23, Train Loss: nan, Train Acc: 0.098697, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 24, Train Loss: nan, Train Acc: 0.098714, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 25, Train Loss: nan, Train Acc: 0.098714, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 26, Train Loss: nan, Train Acc: 0.098681, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 27, Train Loss: nan, Train Acc: 0.098764, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 28, Train Loss: nan, Train Acc: 0.098714, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 29, Train Loss: nan, Train Acc: 0.098681, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 30, Train Loss: nan, Train Acc: 0.098697, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 31, Train Loss: nan, Train Acc: 0.098681, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 32, Train Loss: nan, Train Acc: 0.098714, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
epoch: 33, Train Loss: nan, Train Acc: 0.098714, Eval Loss: nan, Eval Acc: 0.097607, PSNR: nan
